,result,table,_start,_stop,_time,_value,_field,_measurement,host,service.name,span_id,trace_id
,,0,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:58:21.509467169Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,005b3a1722b8797a,542809a417dd449eac6054226084b0c0
,,1,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:51:20.573686807Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,00b0c24b51856105,9330b77649b565ff55050e0e0704da8d
,,2,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:49:12.572043528Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,00f8c8b3272e54f4,d816156c5e8b14006dfb927790dbc3d9
,,3,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:49:38.575156265Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,024e866f3eb9f0c9,99513dd3648f211d86d437e09a425115
,,4,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:52:06.574693583Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,0333a03d924caea3,c8ab5c45a7df58000075fc0730c7cfb3
,,5,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:49:45.569528414Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,041855b0d3621c47,cdf2ff1688d304c887c89ef94f19ae0a
,,6,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:52:16.571527801Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,04a50abdbb2cf8b2,abc3cd049539d870ba446e8ef148bb69
,,7,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:53:52.568305884Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,05031e347061217a,9ecf4a0be30ce57cfa6512a18b6aa314
,,8,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:52:10.572415688Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,058e603d0392a631,dc680ca2d454ed14a443ddfeb3b37e31
,,9,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:48:23.575466307Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,0598086835b485a3,d1999e0e8b69c86b9442b08e7efde899
,,10,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:54:52.5687173Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,065121822bec363c,5855c45b816f9549a9571b8bfd4d0a4c
,,11,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:56:45.228368943Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,066ac7f47d5b5d45,83a72d3f836bb1da0079c69030a9474c
,,12,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:58:30.663835886Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,07a046afd213f556,9e2324d64ddaaa6a26466acbe2d3bfc7
,,13,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:56:17.57112461Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,07a487a9e05af798,0f15f7e4da0049f7c7958883e179ee55
,,14,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:49:43.572743905Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,080c3d04a0211025,726bce89b1b495004b188653dd427b65
,,15,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:54:26.568451913Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,08b0260ed3fa7c7b,dbbd6016e6793c5f7b60dad8c1713f63
,,16,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:49:24.573103365Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,08c063553a858e79,7f208d99f9f76be65968c58ce661ad41
,,17,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:55:11.56836713Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,08e57b2034cd0ca4,e837f8f3fc93beaf8477cf6c5c783d32
,,18,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:52:53.570398583Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,090567e20fa49cf3,ecaaaf099476d381773e7664d5f991b4
,,19,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:55:00.568456289Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,09c7f982e9c4e7c9,3cbf6fe07d361d81de8db87ea54b9495
,,20,2025-12-01T13:17:45.976701674Z,2025-12-01T14:17:45.976701674Z,2025-12-01T13:50:30.568662592Z,"{""service"":""bellOff""}",attributes,spans,580706b33949,railway-consumer,0abc1d98c47eeef5,0ebf119f4c47dc9ed4b7ad27cfbfa2e5
