#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,service.name,span_id,trace_id
,,0,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:26:25.393965624Z,126647,duration_nano,spans,9a9cdb9e261f,railway-consumer,00175dcc655c1635,936214c156fe95e64fdb8c0ae43acf3b
,,1,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:24:46.17812064Z,115787,duration_nano,spans,9a9cdb9e261f,railway-consumer,0030eeddee0071c2,df5fb54b86b29dd0edca971475d394d5
,,2,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:27:28.285223636Z,63244,duration_nano,spans,9a9cdb9e261f,railway-consumer,0031edacdb175fa1,824a9505f82dc2f437dfe68689fa9020
,,3,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:25:11.04409936Z,72535,duration_nano,spans,9a9cdb9e261f,railway-consumer,00343dd977d9cf50,8f100718a7f7d5cfd00ce8e1b21afc70
,,4,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:27:32.6649328Z,264802,duration_nano,spans,9a9cdb9e261f,railway-consumer,0058aea86bb64f34,bef552144969ea247390b391cde91fbd
,,5,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:26:54.583730234Z,90854,duration_nano,spans,9a9cdb9e261f,railway-consumer,00697f4cb95b0513,9de4a2e88786d4d9a785dfb4b51f5f64
,,6,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:30:05.647373291Z,158024,duration_nano,spans,9a9cdb9e261f,railway-consumer,0076004336d85c54,2abb731c3b63f64fc484795d557ac793
,,7,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:22:52.181938521Z,252321,duration_nano,spans,9a9cdb9e261f,railway-consumer,00938e6851b719f8,c455fa5c4c6c20da3fe8dee2ff228d91
,,8,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:30:37.051346715Z,132177,duration_nano,spans,9a9cdb9e261f,railway-consumer,009972ca23650fb3,aca8cb3e7e145c65dc0030d6db93e1c3
,,9,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:31:16.147447845Z,81458,duration_nano,spans,9a9cdb9e261f,railway-consumer,00adfef074c48485,3523961f8a63322f7607b3fe7791baba
,,10,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:26:40.67469017Z,202251,duration_nano,spans,9a9cdb9e261f,railway-consumer,00daaabbd359eda3,e670d4d0e0f0dc344a907df967aafc0a
,,11,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:26:59.920251599Z,75829,duration_nano,spans,9a9cdb9e261f,railway-consumer,01003f39e9092926,5e42ca8211a1e1b4c2c93006aa1901ab
,,12,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:31:45.611773676Z,132099,duration_nano,spans,9a9cdb9e261f,railway-consumer,01023c93deacf2ce,c2f4a6d185868e3c5be4adc0b58d942d
,,13,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:31:06.356968654Z,129452,duration_nano,spans,9a9cdb9e261f,railway-consumer,010627abacacf515,791500edf9b72b3afee941ff8e4af91b
,,14,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:27:16.223538724Z,88519,duration_nano,spans,9a9cdb9e261f,railway-consumer,010b4dbf56528cff,1f00e8c3641d566d7647223bf9d248ce
,,15,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:31:59.677580223Z,80205,duration_nano,spans,9a9cdb9e261f,railway-consumer,01392f3db4d82799,66ce91a4d950b6a2102124807dd71aa3
,,16,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:29:43.857710757Z,154737,duration_nano,spans,9a9cdb9e261f,railway-consumer,013e7dcc6acccc8b,719bd78a58811b9da426aa070d40614f
,,17,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:31:44.560997109Z,98245,duration_nano,spans,9a9cdb9e261f,railway-consumer,014991eee409404c,404082787325c71ff74ef22226a19372
,,18,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:31:55.307880863Z,111282,duration_nano,spans,9a9cdb9e261f,railway-consumer,0157663e03b3e7da,bb90c9a1f91afd2390ac575f391f1a5b
,,19,2026-02-02T00:34:22.866523981Z,2026-02-02T12:34:22.866523981Z,2026-02-02T12:25:37.912207908Z,82099,duration_nano,spans,9a9cdb9e261f,railway-consumer,016d1f3af76a2d10,5a0aa93ae096791cea7a636e92747b48
