#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,service.name,span_id,trace_id
,,0,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:06:18.932916394Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,06a6370ac538cb2a,694eff227edc3cac248325d45f4fd368
,,1,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:05:14.072438175Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,083aab1789e0a5fc,a69815237befe701c3332dcdf35f88dd
,,2,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:03:32.545948519Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,09044920d4f5c916,ed9ea495f3f38be4dddf49712ca36342
,,3,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:02:27.123379322Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,0eaa5cfd8959db8a,2d2ed3ada1c55bfa7130e2803e35e31c
,,4,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:06:34.959374486Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,0fdec2b964e63a8f,f0644ee6da1040ca7fcfe1a68298aedc
,,5,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:06:58.840507867Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,1545a8040f1ea24e,017a1a4b23b84833d297c6765eb3aee2
,,6,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:04:27.118813556Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,15db680a65d681c3,c947a3308fd2cafe8e64ba175ca688cd
,,7,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:04:55.328683261Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,18a76a8a95851e14,aa61e0625573a0adafabe0a821d0c415
,,8,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:04:05.17060579Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,1f7af3cdde69603a,08b0958f44c3d04b198bcba2b816f7ac
,,9,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:04:58.602776355Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,222a3101907f4aa2,2718b9641e85931e1c954ccfb6250a14
,,10,2026-02-09T21:09:12.483707935Z,2026-02-10T09:09:12.483707935Z,2026-02-10T09:06:53.419990603Z,analyze,span.name,spans,03a66bccef49,surveillance-cloud,296984ad8a9e475c,7b0259a410f341bc5f111bba2363bcd7
