#group,false,false,true,true,false,false,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string
#default,_result,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,host,service.name,span_id,trace_id
,,0,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:21:29.006133371Z,3208389,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,01f49694b868b375,1068dc3143ff17ced2fa5dc76595a2d9
,,1,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:12:03.845029286Z,3439454,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,02e90bce2d9fdb00,f1683843ea75acdbc26023588b330c91
,,2,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:14:02.69631328Z,4404179,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,0dbfb0b78dd3d493,1e22c4d365918258b3fc57b9bdcb8e83
,,3,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:16:01.205367075Z,4603646,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,112f26fdcc88a8b8,4ee7a101387c1ca2efce34688c2c87d1
,,4,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:21:30.086918691Z,3312729,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,141f600ec6b4fbb8,d40a275172641a28d09b895b752b9b19
,,5,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:19:30.541050307Z,3331837,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,17b6ec25476ec63d,f01c3a2217a346dc5d1600138732864a
,,6,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:14:00.598598404Z,9774677,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,17cfa9097fa521c4,7088fcc40c87e8f908576a804fa46714
,,7,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:14:03.755616621Z,3917206,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,17ded664357b39e3,06ec7c7ed3d24fc7cba2539c16bf8424
,,8,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:13:41.29889138Z,5029900,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,1cc5325d3219daf0,30db0d9561b8b5e14e550c10f43e6e3b
,,9,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:16:37.943555387Z,3786210,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,2165863a6e5776f1,cf33e63db4a16f42a08194c3c9480fd1
,,10,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:21:02.028891595Z,3360485,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,32b677fb0871c2d2,bfc7a94458a0d88ce68012501b2974c8
,,11,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:13:34.993644708Z,5260881,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,3862794ace65c386,ee0568e18e642b37508c81624f879e0a
,,12,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:12:02.689451585Z,3384224,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,477a8bb23b0f104c,652a4c7716b1ce506d2eff0e55829446
,,13,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:18:20.553792133Z,3237101,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,4e450c8cf4365e37,4fd1303effd56d6ece27d26d8a1dfb55
,,14,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:12:23.39772743Z,3217416,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,500b7f250e5f8bba,fc1c382abf3737b06f62c08ad447c84a
,,15,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:19:57.459796681Z,3260948,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,5bfaf006976c0474,b83166e59c4062bc8365fb8dcd8e72ce
,,16,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:19:56.387956953Z,3367552,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,5d806b4a018907c1,ed17d01aaa45ed4896c7ae3b032e4789
,,17,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:15:34.031957891Z,3351609,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,5e8609ea96464b29,7aa14d2609800dce70cc7928d26b732e
,,18,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:17:58.845620205Z,3338774,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,6cb9acd9b5b053f5,3e0f656ca5b0d82fffbe41695666d92e
,,19,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:20:29.805399887Z,3431159,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,719463349d2d41de,cd3468671ae1556080460933b586256d
,,20,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:12:04.880954477Z,3561349,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,7457a462e67b09e7,6d573876ec25d38db4ce21fb335a53bc
,,21,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:16:56.146023179Z,2939866,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,75566bfafecd9ad6,d267b1f30c72dbeb3ca8075d2b76a007
,,22,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:19:31.620049574Z,3401471,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,7629175963df3be8,fd78f08f08139d15a844ce7bdc9468b5
,,23,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:13:36.003274405Z,3438755,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,773c6231c6068fa2,9b38e2f535a421803c308dbb87aebd4c
,,24,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:14:01.573298327Z,5627012,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,8b65365ab3a881a7,a22c63beb59a378cea9a744b5a0b9b45
,,25,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:21:34.390073438Z,3392119,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,8bd18f474400d083,632e5fdf8eff706c3316170cbeefecfc
,,26,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:16:00.221936834Z,4662660,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,8f54081475575f58,45c6d405bc065b0140105d4e002434bb
,,27,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:21:31.165854568Z,3233532,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,929343a92c59cdf1,956b9de43a0d1695b46fdbe543a21699
,,28,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:14:58.31551719Z,6513768,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,95ec767267a902af,402c8307184c27f638524c441f0143f6
,,29,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:17:57.76129389Z,3272703,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,a9b1b14857f93aa8,4a42b0fbb39701fe154e7398cf33f04c
,,30,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:11:44.678751068Z,3334915,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,b10b5255984862d5,2981e24a86d330b3e0db5374e9e9f166
,,31,2026-02-09T22:23:40.137148752Z,2026-02-10T10:23:40.137148752Z,2026-02-10T10:11:37.387166124Z,8097236,duration_nano,spans,c3e509cb4f2e,surveillance-cloud,c0b2def0f7594a7b,64d9b47b88849fe8b4cad71cb275af7b
